#Organism Name,Strain,Assembly,Level,Size(Mb),GC%,Replicons,GenBank FTP,RefSeq FTP
"Acinetobacter bereziniae","XH901","GCA_002813045.1","Complete",4.50912,38.1,"chromosome:NZ_CP018259.1/CP018259.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/813/045/GCA_002813045.1_ASM281304v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/813/045/GCF_002813045.1_ASM281304v1"
"Acinetobacter sp. FDAARGOS_560","FDAARGOS_560","GCA_003812205.1","Complete",4.1666,39.2655,"chromosome:NZ_CP033862.1/CP033862.1; plasmid unnamed1:NZ_CP033863.1/CP033863.1; plasmid unnamed2:NZ_CP033864.1/CP033864.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/812/205/GCA_003812205.1_ASM381220v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/205/GCF_003812205.1_ASM381220v1"
"Escherichia sp. E4742","E4742","GCA_005843885.1","Complete",5.12075,50.7,"chromosome:NZ_CP040443.1/CP040443.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/843/885/GCA_005843885.1_ASM584388v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/843/885/GCF_005843885.1_ASM584388v1"
"Shigella sp. PAMC 28760","PAMC 28760","GCA_001596115.1","Complete",4.55829,50.8,"chromosome:NZ_CP014768.1/CP014768.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/596/115/GCA_001596115.1_ASM159611v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/596/115/GCF_001596115.1_ASM159611v1"
"Haemophilus parahaemolyticus","NEB129","GCA_008330025.1","Complete",2.09187,40.3037,"chromosome:NZ_CP038817.1/CP038817.1; plasmid pHha1733:NZ_CP038818.1/CP038818.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/330/025/GCA_008330025.1_ASM833002v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/330/025/GCF_008330025.1_ASM833002v1"
"Pseudomonas luteola","FDAARGOS_637","GCA_008693965.1","Complete",5.90138,55.4423,"chromosome 1:NZ_CP044086.1/CP044086.1; chromosome 2:NZ_CP044085.1/CP044085.1; plasmid unnamed1:NZ_CP044084.1/CP044084.1; plasmid unnamed2:NZ_CP044087.1/CP044087.1; plasmid unnamed3:NZ_CP044088.1/CP044088.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/693/965/GCA_008693965.1_ASM869396v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/693/965/GCF_008693965.1_ASM869396v1"
"Pseudomonas alcaligenes","NEB 585","GCA_001597285.1","Complete",4.4063,65.5,"chromosome:NZ_CP014784.1/CP014784.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/597/285/GCA_001597285.1_ASM159728v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/597/285/GCF_001597285.1_ASM159728v1"
"Cedecea neteri","SSMD04","GCA_000757825.1","Complete",4.87644,55.1,"chromosome:NZ_CP009451.1/CP009451.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/757/825/GCA_000757825.1_ASM75782v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/757/825/GCF_000757825.1_ASM75782v1"
"Pluralibacter gergoviae","FB2","GCA_000757785.1","Complete",5.48968,59.1,"chromosome:NZ_CP009450.1/CP009450.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/757/785/GCA_000757785.1_ASM75778v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/757/785/GCF_000757785.1_ASM75778v1"
"Acinetobacter soli","GFJ2","GCA_001953195.1","Complete",3.63635,42.8246,"chromosome:NZ_CP016896.1/CP016896.1; plasmid pGFJ1:NZ_CP016897.1/CP016897.1; plasmid pGFJ2:NZ_CP016898.1/CP016898.1; plasmid pGFJ3:NZ_CP016899.1/CP016899.1; plasmid pGFJ4:NZ_CP016900.1/CP016900.1; plasmid pGFJ5:NZ_CP016901.1/CP016901.1; plasmid pGFJ6:NZ_CP016902.1/CP016902.1; plasmid pGFJ7:NZ_CP016903.1/CP016903.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/953/195/GCA_001953195.1_ASM195319v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/953/195/GCF_001953195.1_ASM195319v1"
"Hafnia paralvei","FDAARGOS_158","GCA_001559255.2","Complete",4.51371,48.2,"chromosome:NZ_CP014031.2/CP014031.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/559/255/GCA_001559255.2_ASM155925v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/559/255/GCF_001559255.2_ASM155925v2"
"Plesiomonas shigelloides","NCTC10360","GCA_900087055.1","Complete",3.40598,52,"chromosome 1:NZ_LT575468.1/LT575468.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/087/055/GCA_900087055.1_31289_E01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/087/055/GCF_900087055.1_31289_E01"
"Aeromonas dhakensis","KN-Mc-6U21","GCA_002285935.1","Complete",4.86805,61.5,"chromosome:NZ_CP023141.1/CP023141.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/285/935/GCA_002285935.1_ASM228593v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/285/935/GCF_002285935.1_ASM228593v1"
"Klebsiella michiganensis","K516","GCA_002216835.1","Complete",6.41874,55.8747,"chromosome:NZ_CP022348.1/CP022348.1; plasmid pK516_KPC:NZ_CP022349.1/CP022349.1; plasmid pK516_NDM1:NZ_CP022350.1/CP022350.1; plasmid pK516_NDM5:NZ_CP022351.1/CP022351.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/216/835/GCA_002216835.1_ASM221683v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/216/835/GCF_002216835.1_ASM221683v1"
"Enterobacter roggenkampii","DSM 16690","GCA_001729805.1","Complete",4.9,56.036,"chromosome:NZ_CP017184.1/CP017184.1; plasmid pDSMZ16690:NZ_CP017185.1/CP017185.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/729/805/GCA_001729805.1_ASM172980v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/729/805/GCF_001729805.1_ASM172980v1"
"Enterobacter roggenkampii","35734","GCA_000807415.4","Complete",5.2769,55.6738,"chromosome 1:NZ_CP012162.1/CP012162.1; plasmid p35734-109.753kb:NZ_CP012163.1/CP012163.1; plasmid p35734-141.404kb:NZ_CP010360.2/CP010360.2; plasmid p35734-8.452kb:NZ_CP012164.1/CP012164.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/807/415/GCA_000807415.4_ASM80741v4","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/807/415/GCF_000807415.2_ASM80741v4"
"Klebsiella michiganensis","K518","GCA_002290285.1","Complete",6.41857,55.8754,"chromosome:NZ_CP023185.1/CP023185.1; plasmid pK518_KPC:NZ_CP023186.1/CP023186.1; plasmid pK518_NDM1:NZ_CP023187.1/CP023187.1; plasmid pK518_NDM5:NZ_CP023188.1/CP023188.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/290/285/GCA_002290285.1_ASM229028v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/290/285/GCF_002290285.1_ASM229028v1"
"Plesiomonas shigelloides","MS-17-188","GCA_003019855.1","Complete",3.97036,51.4817,"chromosome:NZ_CP027852.1/CP027852.1; plasmid pPS-MS-17-188-1:NZ_CP027853.1/CP027853.1; plasmid pPS-MS-17-188-2:NZ_CP027854.1/CP027854.1; plasmid pPS-MS-17-188-3:NZ_CP027855.1/CP027855.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/019/855/GCA_003019855.1_ASM301985v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/019/855/GCF_003019855.1_ASM301985v1"
"Pluralibacter gergoviae","FDAARGOS_186","GCA_003019925.1","Complete",5.40808,59,"chromosome:NZ_CP020388.1/CP020388.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/019/925/GCA_003019925.1_ASM301992v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/019/925/GCF_003019925.1_ASM301992v1"
"Cedecea neteri","FDAARGOS_392","GCA_002393445.1","Complete",5.4693,54.2162,"chromosome:NZ_CP023525.1/CP023525.1; plasmid unnamed:NZ_CP023526.1/CP023526.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/393/445/GCA_002393445.1_ASM239344v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/393/445/GCF_002393445.1_ASM239344v1"
"Acinetobacter sp. FDAARGOS_494","FDAARGOS_494","GCA_003812225.1","Complete",3.95324,39.0986,"chromosome:NZ_CP033866.1/CP033866.1; plasmid unnamed:NZ_CP033867.1/CP033867.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/812/225/GCA_003812225.1_ASM381222v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/225/GCF_003812225.1_ASM381222v1"
"Cronobacter malonaticus","CMCC45402","GCA_000504545.1","Complete",4.55994,56.8314,"chromosome:NC_023032.1/CP006731.1; plasmid p1:NC_023024.1/CP006732.1; plasmid p2:NC_023025.1/CP006733.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/504/545/GCA_000504545.1_ASM50454v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/504/545/GCF_000504545.1_ASM50454v1"
"Pseudomonas oleovorans","","GCA_000953455.1","Complete",4.69698,62.3,"chromosome I:NZ_LK391695.1/LK391695.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/953/455/GCA_000953455.1_Ppseudo_Pac","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/953/455/GCF_000953455.1_Ppseudo_Pac"
"Acinetobacter ursingii","M3","GCA_003966675.1","Complete",3.569,40.2065,"chromosome 1:NZ_AP018824.1/AP018824.1; plasmid pAURM-1:NZ_AP018825.1/AP018825.1; plasmid pAURM-2:NZ_AP018826.1/AP018826.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/966/675/GCA_003966675.1_ASM396667v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/966/675/GCF_003966675.1_ASM396667v1"
"Morganella morganii subsp. morganii","ATCC 25830","GCA_006094455.1","Complete",3.8899,51,"chromosome:NZ_CP034944.1/CP034944.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/094/455/GCA_006094455.1_ASM609445v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/094/455/GCF_006094455.1_ASM609445v1"
"Pantoea agglomerans","TH81","GCA_003704305.1","Complete",4.98447,54.7445,"chromosome:NZ_CP031649.1/CP031649.1; plasmid unnamed1:NZ_CP031650.1/CP031650.1; plasmid unnamed2:NZ_CP031651.1/CP031651.1; plasmid unnamed3:NZ_CP031652.1/CP031652.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/704/305/GCA_003704305.1_ASM370430v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/704/305/GCF_003704305.1_ASM370430v1"
"Klebsiella aerogenes","NCTC9644","GCA_900636315.1","Complete",5.80935,57.0604,"chromosome 1:NZ_LR134254.1/LR134254.1; plasmid 2:NZ_LR134255.1/LR134255.1; plasmid 3:NZ_LR134256.1/LR134256.1; plasmid 4:NZ_LR134257.1/LR134257.1; plasmid 5:NZ_LR134258.1/LR134258.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/315/GCA_900636315.1_40363_G01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/315/GCF_900636315.1_40363_G01"
"Aeromonas caviae","R25-6","GCA_003294855.1","Complete",4.70291,61.4,"chromosome:NZ_CP025705.1/CP025705.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/294/855/GCA_003294855.1_ASM329485v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/294/855/GCF_003294855.1_ASM329485v1"
"Haemophilus aegyptius","NCTC8134","GCA_900637765.1","Complete",1.99324,38.3,"chromosome 1:NZ_LR134395.1/LR134395.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/637/765/GCA_900637765.1_52579_G01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/765/GCF_900637765.1_52579_G01"
"Enterobacter hormaechei subsp. oharae","DSM 16687","GCA_001729705.1","Complete",4.72432,55.6,"chromosome:NZ_CP017180.1/CP017180.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/729/705/GCA_001729705.1_ASM172970v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/729/705/GCF_001729705.1_ASM172970v1"
"Haemophilus parainfluenzae T3T1","T3T1","GCA_000210895.1","Complete",2.08688,39.6,"chromosome:NC_015964.1/FQ312002.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/210/895/GCA_000210895.1_ASM21089v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/895/GCF_000210895.1_ASM21089v1"
"Citrobacter freundii","NCTC9750","GCA_900635425.1","Complete",4.96074,51.7,"chromosome 1:NZ_LR134118.1/LR134118.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/635/425/GCA_900635425.1_28869_C01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/635/425/GCF_900635425.1_28869_C01"
"Acinetobacter haemolyticus","sz1652","GCA_003952705.1","Complete",3.58818,39.5786,"chromosome:NZ_CP032135.1/CP032135.1; plasmid unnamed1:NZ_CP032136.1/CP032136.1; plasmid unnamed2:NZ_CP032137.1/CP032137.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/952/705/GCA_003952705.1_ASM395270v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/952/705/GCF_003952705.1_ASM395270v1"
"Acinetobacter pittii","ST220","GCA_003956065.1","Complete",4.29543,39.0098,"chromosome:NZ_CP029610.1/CP029610.1; plasmid unnamed:NZ_CP029611.1/CP029611.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/956/065/GCA_003956065.1_ASM395606v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/956/065/GCF_003956065.1_ASM395606v1"
"Vibrio furnissii","2419-04","GCA_009665335.1","Complete",5.00053,50.6797,"chromosome 1:CP035696.1; chromosome 2:CP035694.1; plasmid unnamed1:CP035695.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/665/335/GCA_009665335.1_ASM966533v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/665/335/GCF_009665335.1_ASM966533v1"
"Vibrio mimicus","2011V-1073","GCA_009665195.1","Complete",4.47621,46.2568,"chromosome 1:CP035682.1; chromosome 2:CP035683.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/665/195/GCA_009665195.1_ASM966519v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/665/195/GCF_009665195.1_ASM966519v1"
"Vibrio fluvialis","12605","GCA_001952955.1","Complete",4.85166,50.1039,"chromosome 1:NZ_CP019118.1/CP019118.1; chromosome 2:NZ_CP019119.1/CP019119.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/952/955/GCA_001952955.1_ASM195295v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/952/955/GCF_001952955.1_ASM195295v1"
"Acinetobacter junii","WCHAJ59","GCA_002165245.3","Complete",3.39242,38.9203,"chromosome:NZ_CP028800.2/CP028800.2; plasmid p1_010059:NZ_CP028798.2/CP028798.2; plasmid p2_010059:NZ_CP028799.2/CP028799.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/165/245/GCA_002165245.3_ASM216524v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/165/245/GCF_002165245.3_ASM216524v3"
"Acinetobacter calcoaceticus","Acinetobacter calcoaceticus str. 2117","GCA_900520355.1","Complete",3.93411,38.7,"chromosome 1:NZ_LS999521.1/LS999521.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/520/355/GCA_900520355.1_ASM90052035v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/520/355/GCF_900520355.1_ASM90052035v1"
"Acinetobacter nosocomialis","SSA3","GCA_002082665.1","Complete",4.14236,38.6923,"chromosome:NZ_CP020588.1/CP020588.1; plasmid pSSA3_1:NZ_CP020587.1/CP020587.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/082/665/GCA_002082665.1_ASM208266v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/082/665/GCF_002082665.1_ASM208266v1"
"Cardiobacterium hominis","NCTC10426","GCA_900637305.1","Complete",2.67076,59.2,"chromosome 1:NZ_LR134365.1/LR134365.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/637/305/GCA_900637305.1_50618_F02","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/305/GCF_900637305.1_50618_F02"
"Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788","NBRC 102413","GCA_006757745.1","Complete",3.43394,41.3429,"chromosome:NZ_AP019740.1/AP019740.1; plasmid pARA1:NZ_AP019741.1/AP019741.1; plasmid pARA2:NZ_AP019742.1/AP019742.1; plasmid pARA3:NZ_AP019743.1/AP019743.1; plasmid pARA4:NZ_AP019744.1/AP019744.1; plasmid pARA5:NZ_AP019745.1/AP019745.1; plasmid pARA6:NZ_AP019746.1/AP019746.1; plasmid pARA7:NZ_AP019747.1/AP019747.1; plasmid pARA8:NZ_AP019748.1/AP019748.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/757/745/GCA_006757745.1_ASM675774v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/757/745/GCF_006757745.1_ASM675774v1"
"Enterobacter cancerogenus","CR-Eb1","GCA_002850575.1","Complete",4.79651,55.8,"chromosome:NZ_CP025225.1/CP025225.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/850/575/GCA_002850575.1_ASM285057v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/850/575/GCF_002850575.1_ASM285057v1"
"Providencia rustigianii","NCTC8113","GCA_900637755.1","Complete",3.86439,41.4,"chromosome 1:NZ_LR134396.1/LR134396.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/637/755/GCA_900637755.1_52579_F01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/755/GCF_900637755.1_52579_F01"
"Providencia rettgeri","Pr-15-2-50","GCA_005155965.1","Complete",4.64919,40.3,"chromosome:NZ_CP039844.1/CP039844.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/155/965/GCA_005155965.1_ASM515596v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/155/965/GCF_005155965.1_ASM515596v1"
"Providencia alcalifaciens","NCTC10286","GCA_900478095.1","Complete",4.04293,42,"chromosome 1:NZ_LS483467.1/LS483467.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/478/095/GCA_900478095.1_31289_D01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/478/095/GCF_900478095.1_31289_D01"
"Aggregatibacter aphrophilus","W10433","GCA_001262035.1","Complete",2.41443,42.3,"chromosome:NZ_CP012067.1/CP012067.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/262/035/GCA_001262035.1_ASM126203v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/262/035/GCF_001262035.1_ASM126203v1"
"Escherichia fergusonii","ATCC 35473","GCA_008064875.1","Complete",4.65772,49.8,"chromosome:NZ_CP042942.1/CP042942.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/064/875/GCA_008064875.1_ASM806487v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/064/875/GCF_008064875.1_ASM806487v1"
"Aggregatibacter actinomycetemcomitans NUM4039","NUM 4039","GCA_001547775.1","Complete",2.38285,44.3,"chromosome Unknown:NZ_AP014520.1/AP014520.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/547/775/GCA_001547775.1_ASM154777v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/775/GCF_001547775.1_ASM154777v1"
"Escherichia albertii","2010C-3449","GCA_003864075.1","Complete",4.92364,50,"chromosome:NZ_CP034212.1/CP034212.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/864/075/GCA_003864075.1_ASM386407v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/864/075/GCF_003864075.1_ASM386407v1"
"Serratia proteamaculans 568","568","GCA_000018085.1","Complete",5.49566,55.0498,"chromosome:NC_009832.1/CP000826.1; plasmid pSPRO01:NC_009829.1/CP000827.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/085/GCA_000018085.1_ASM1808v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/085/GCF_000018085.1_ASM1808v1"
"Aeromonas hydrophila NJ-35","NJ-35","GCA_001019645.1","Complete",5.27964,60.5,"chromosome:NZ_CP006870.1/CP006870.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/019/645/GCA_001019645.1_ASM101964v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/019/645/GCF_001019645.1_ASM101964v1"
"Legionella longbeachae","B3526CHC","GCA_008807315.1","Complete",4.34986,37.1346,"chromosome:NZ_CP042254.1/CP042254.1; plasmid pB3526CHC_150k:NZ_CP042253.1/CP042253.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/807/315/GCA_008807315.1_ASM880731v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/807/315/GCF_008807315.1_ASM880731v1"
"Vibrio sp. THAF191d","THAF191d","GCA_009676865.1","Complete",5.87773,45.7962,"chromosome:CP046065.1; plasmid pTHAF191d_b:CP046066.1; plasmid pTHAF191d_c:CP046067.1; plasmid pTHAF191d_d:CP046068.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/676/865/GCA_009676865.1_ASM967686v1",
"Moraxella catarrhalis","NCTC11020","GCA_900476075.1","Complete",1.90798,41.6,"chromosome 1:NZ_LS483445.1/LS483445.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/476/075/GCA_900476075.1_49595_F01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/476/075/GCF_900476075.1_49595_F01"
"Enterobacter cloacae","PIMB10EC27","GCA_002982195.1","Complete",5.41925,54.3756,"chromosome:NZ_CP020089.1/CP020089.1; plasmid pEC27-1:NZ_CP020090.1/CP020090.1; plasmid pEC27-2:NZ_CP020091.1/CP020091.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/982/195/GCA_002982195.1_ASM298219v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/982/195/GCF_002982195.1_ASM298219v1"
"Cronobacter sakazakii","GZcsf-1","GCA_003955925.1","Complete",4.90806,56.321,"chromosome:NZ_CP028974.1/CP028974.1; plasmid pGW1:NZ_CP028975.1/CP028975.1; plasmid pGW2:NZ_CP028976.1/CP028976.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/955/925/GCA_003955925.1_ASM395592v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/955/925/GCF_003955925.1_ASM395592v1"
"Citrobacter koseri","AR_0024","GCA_002947675.1","Complete",4.92887,53.7028,"chromosome:NZ_CP026709.1/CP026709.1; plasmid unitig_1_pilon:NZ_CP026710.1/CP026710.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/947/675/GCA_002947675.1_ASM294767v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/947/675/GCF_002947675.1_ASM294767v1"
"Klebsiella oxytoca","NCTC13727","GCA_900636985.1","Complete",5.85796,55.1,"chromosome 1:NZ_LR134333.1/LR134333.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/985/GCA_900636985.1_45889_C01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/985/GCF_900636985.1_45889_C01"
"Proteus mirabilis","AR_0155","GCA_002180235.1","Complete",4.58718,39.689,"chromosome:NZ_CP021694.1/CP021694.1; plasmid tig00000123:NZ_CP021695.1/CP021695.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/180/235/GCA_002180235.1_ASM218023v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/180/235/GCF_002180235.1_ASM218023v1"
"Serratia marcescens subsp. marcescens ATCC 13880","ATCC 13880","GCA_006974205.1","Complete",5.15871,59.7883,"chromosome:NZ_CP041233.1/CP041233.1; plasmid pATCC:NZ_CP041234.1/CP041234.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/974/205/GCA_006974205.1_ASM697420v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/974/205/GCF_006974205.1_ASM697420v1"
"Mannheimia haemolytica","1471","GCA_007981025.1","Complete",2.8192,41.1,"chromosome:NZ_CP017538.1/CP017538.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/981/025/GCA_007981025.1_ASM798102v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/981/025/GCF_007981025.1_ASM798102v1"
"Yersinia enterocolitica subsp. palearctica","NCTC13769","GCA_900637005.1","Complete",4.56009,47,"chromosome 1:NZ_LR134335.1/LR134335.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/637/005/GCA_900637005.1_46582_C01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/005/GCF_900637005.1_46582_C01"
"[Haemophilus] ducreyi","GHA9","GCA_001647915.1","Complete",1.7755,38.2,"chromosome:NZ_CP015434.1/CP015434.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/647/915/GCA_001647915.1_ASM164791v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/647/915/GCF_001647915.1_ASM164791v1"
"Francisella philomiragia subsp. philomiragia ATCC 25015","O#319L","GCA_000833455.1","Complete",2.0174,32.6,"chromosome:NZ_CP010019.1/CP010019.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/833/455/GCA_000833455.1_ASM83345v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/833/455/GCF_000833455.1_ASM83345v1"
"Pasteurella multocida subsp. gallicida","NCTC10204","GCA_900636625.1","Complete",2.32535,40.3,"chromosome 1:NZ_LR134298.1/LR134298.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/625/GCA_900636625.1_43295_B02","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/625/GCF_900636625.1_43295_B02"
